Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Iran, Islamic Rep.",IRN,18.7208345068656,23.4838672675323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iraq,IRQ,34.5141464410956,38.0518681988838
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ireland,IRL,122.924661429277,127.271542898368
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Isle of Man,IMN,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Israel,ISR,30.8618661959764,28.9810422486608
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Italy,ITA,29.144111052532,30.9498739181942
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jamaica,JAM,29.9216654806929,38.0360807474106
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Japan,JPN,17.4367598376529,17.4635264275221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jordan,JOR,36.5444370225267,36.3349404358171
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kazakhstan,KAZ,28.5167080072354,36.4389870990994
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kenya,KEN,15.1287339034504,11.4279956869332
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kiribati,KIR,13.957451247692,14.9796668239413
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Dem. People's Rep.",PRK,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Rep.",KOR,42.989561527711,39.2758610673609
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kosovo,XKX,22.4513928552736,29.3126074591152
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kuwait,KWT,53.7653723836976,52.05825607288
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kyrgyz Republic,KGZ,35.1896004872594,33.4764696600324
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lao PDR,LAO,33.9522573081909,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latvia,LVA,62.5955625575744,62.5368430163073
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lebanon,LBN,23.1396677268024,20.6977589567577
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lesotho,LSO,42.8918037123102,46.2093281781161
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liberia,LBR,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Libya,LBY,22.2273741215145,42.35532240076
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liechtenstein,LIE,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lithuania,LTU,68.6043807818409,76.8187229886379
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Luxembourg,LUX,191.835449041844,206.580145839872
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Macao SAR, China",MAC,78.5067332391829,82.706393125478
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Madagascar,MDG,28.3906461296836,28.4244012431975
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malawi,MWI,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malaysia,MYS,69.4486908970754,65.2777668428576
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Maldives,MDV,76.4277887724561,65.5134179400092
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mali,MLI,20.2239475938187,21.7272254994959
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malta,MLT,108.732518513193,124.520039892667
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Marshall Islands,MHL,44.2421883505716,37.0618720480893
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritania,MRT,30.1951447553349,42.3975240406607
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritius,MUS,51.4978524051162,44.0209877603943
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mexico,MEX,34.1627726855471,38.5296507920009
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Micronesia, Fed. Sts.",FSM,27.0650027062475,26.7941370558376
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Moldova,MDA,31.8069217883307,31.1910849579769
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Monaco,MCO,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mongolia,MNG,44.1840502346828,59.2172331806539
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Montenegro,MNE,42.1180721256354,43.8466387797969
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Morocco,MAR,29.9958538899695,34.093057468891
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mozambique,MOZ,32.5722935328402,37.1420563608323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Myanmar,MMR,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Namibia,NAM,35.3708484097637,36.4008818615818
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nauru,NRU,71.9757769939104,60.5348040613131
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nepal,NPL,10.2145885930146,7.7799364745157
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Netherlands,NLD,83.9918475345943,85.3209394926528
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,New Caledonia,NCL,18.0691662889356,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,New Zealand,NZL,27.9337478332662,27.3298341875002
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nicaragua,NIC,40.0837782888412,44.8044297851925
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Niger,NER,14.2683699619368,10.7593769160532
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nigeria,NGA,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,North Macedonia,MKD,48.7379999069691,62.4080567878813
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Northern Mariana Islands,MNP,52.967032967033,42.4936386768448
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Norway,NOR,38.5751887349717,36.640925320627
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Oman,OMN,49.652560938135,49.4929030047786
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Pakistan,PAK,9.97457095124036,9.3908635386027
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Palau,PLW,53.1408612146409,37.9030976627784
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Panama,PAN,47.3866198943049,40.2141745207689
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Papua New Guinea,PNG,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Paraguay,PRY,34.734658699956,36.0872909434467
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Peru,PER,21.2873252858958,24.0390874349068
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Philippines,PHL,27.2080572390451,28.3829200126393
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Poland,POL,47.1616367257527,52.6128934811742
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Portugal,PRT,40.6876664090066,43.6531259432991
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Puerto Rico (US),PRI,67.1949349700848,60.5788840862048
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Qatar,QAT,57.061477766584,52.1888599262863
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Romania,ROU,41.3491935848306,40.079314554834
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,28.703389442924,28.4334306799759
